risk_id,loan_id,customer_id,risk_grade,pd,lgd,ead,ecl,risk_weight,rwa,provision_amount,assessment_date_id,basel_category
RISK00001,LOAN00001,CUST0695,CC,0.7608,0.4904,195752.38,73034.49,0.4617,41938.92,68711.48,20240416,Corporate
RISK00002,LOAN00002,CUST0717,B,0.5785,0.5867,125396.22,42560.22,1.3084,148647.77,41430.12,20250413,Retail
RISK00003,LOAN00003,CUST0510,AAA,0.0241,0.3847,20747.41,192.35,0.7995,14596.11,190.06,20241226,Corporate
RISK00004,LOAN00004,CUST0676,CC,0.7433,0.3882,8190.36,2363.32,1.47,3817.26,2449.79,20240404,Corporate
RISK00005,LOAN00005,CUST0488,A,0.2539,0.6727,55382.71,9459.29,0.9648,47823.46,10316.74,20240605,Sovereign
RISK00006,LOAN00006,CUST0616,BB,0.43,0.4748,77859.74,15896.16,1.4916,68725.53,16266.02,20240810,Sovereign
RISK00007,LOAN00007,CUST0266,AA,0.1783,0.4471,14892.0,1187.16,1.4865,19915.19,1095.49,20240728,SME
RISK00008,LOAN00008,CUST0977,D,0.95,0.446,116402.09,49319.57,0.6194,58098.3,44950.44,20241001,Retail
RISK00009,LOAN00009,CUST0816,AAA,0.0943,0.6349,273759.05,16390.25,0.7227,408112.2,15356.54,20250103,Retail
RISK00010,LOAN00010,CUST0467,AAA,0.0502,0.5754,11281.68,325.87,1.2243,9761.47,353.75,20250522,Sovereign
RISK00011,LOAN00011,CUST0869,BBB,0.3486,0.5867,107368.89,21959.47,0.9764,88064.46,22730.49,20250412,Corporate
RISK00012,LOAN00012,CUST0957,AAA,0.0912,0.3637,184613.81,6123.54,0.7616,124271.91,6456.11,20240102,Corporate
RISK00013,LOAN00013,CUST0402,AA,0.1949,0.6692,189448.81,24709.26,0.6599,90064.72,25016.54,20240829,SME
RISK00014,LOAN00014,CUST0562,A,0.2124,0.3655,147925.17,11483.76,0.3734,126063.65,10455.58,20250319,Corporate
RISK00015,LOAN00015,CUST0713,AAA,0.0576,0.5713,69675.59,2292.81,0.3111,17665.7,2407.7,20250217,Corporate
RISK00016,LOAN00016,CUST0152,AAA,0.065,0.5374,67723.93,2365.66,0.4568,20355.75,2320.68,20241221,Corporate
RISK00017,LOAN00017,CUST0643,D,0.95,0.4501,40547.29,17337.82,1.4674,19606.84,18695.1,20240221,Retail
RISK00018,LOAN00018,CUST0815,AAA,0.0117,0.3488,250089.08,1020.6,0.2425,118133.28,927.11,20250212,Retail
RISK00019,LOAN00019,CUST0931,A,0.2461,0.3724,109708.26,10054.5,1.0982,69736.28,10579.28,20250430,Corporate
RISK00020,LOAN00020,CUST0661,BBB,0.3353,0.5224,13883.61,2431.86,0.2095,13649.53,2590.15,20241011,Retail
RISK00021,LOAN00021,CUST0832,A,0.242,0.383,21228.32,1967.57,1.4532,19657.73,1832.46,20241012,Corporate
RISK00022,LOAN00022,CUST0121,AAA,0.0206,0.3645,124184.42,932.46,0.3976,186181.55,925.31,20241222,SME
RISK00023,LOAN00023,CUST0872,D,0.95,0.3993,65272.0,24759.95,1.1108,40100.1,23954.78,20240611,SME
RISK00024,LOAN00024,CUST0969,AAA,0.0997,0.5425,122384.74,6619.45,0.5693,145763.88,7256.17,20250326,Retail
RISK00025,LOAN00025,CUST0705,AAA,0.0552,0.5367,79815.44,2364.6,0.3155,116768.96,2562.91,20240201,Corporate
RISK00026,LOAN00026,CUST0747,AAA,0.0254,0.4701,45528.27,543.63,0.3524,22054.33,535.27,20250209,Retail
RISK00027,LOAN00027,CUST0549,AAA,0.0511,0.3656,381107.69,7119.91,1.0245,396084.17,7788.1,20240827,SME
RISK00028,LOAN00028,CUST0324,AAA,0.01,0.5561,279249.39,1552.91,1.1395,237262.26,1497.17,20250517,Retail
RISK00029,LOAN00029,CUST0342,AAA,0.0176,0.5913,90216.18,938.87,0.3876,97233.18,1030.43,20240109,SME
RISK00030,LOAN00030,CUST0842,A,0.2563,0.3683,116026.11,10952.32,0.4054,25748.76,11677.6,20250524,SME
RISK00031,LOAN00031,CUST0399,AAA,0.0514,0.3622,146279.78,2723.3,0.6968,145455.87,2517.47,20241114,SME
RISK00032,LOAN00032,CUST0388,AAA,0.0707,0.3732,18376.98,484.88,0.5041,18933.49,455.97,20240221,Retail
RISK00033,LOAN00033,CUST0818,CCC,0.6895,0.5543,0.0,0.0,0.9679,0.0,0.0,20240326,Corporate
RISK00034,LOAN00034,CUST0313,CCC,0.6832,0.323,362719.67,80042.66,0.9914,194830.46,72249.86,20241014,Retail
RISK00035,LOAN00035,CUST0568,AAA,0.0685,0.5707,158798.41,6207.9,0.7077,76523.59,5935.65,20250207,Sovereign
RISK00036,LOAN00036,CUST0128,A,0.2416,0.3977,94099.56,9041.49,0.4634,24859.08,9245.21,20250219,SME
RISK00037,LOAN00037,CUST0974,B,0.5524,0.39,18798.3,4049.83,1.4182,5582.04,4144.45,20240317,SME
RISK00038,LOAN00038,CUST0860,D,0.95,0.5716,178796.69,97090.18,0.93,118408.6,104678.14,20250304,Sovereign
RISK00039,LOAN00039,CUST0872,AAA,0.0305,0.6732,234552.7,4815.98,0.5263,121087.8,5108.58,20241025,SME
RISK00040,LOAN00040,CUST0846,AAA,0.01,0.6561,397091.08,2605.31,1.2026,501489.96,2703.79,20250314,Corporate
RISK00041,LOAN00041,CUST0364,AAA,0.01,0.6078,112190.3,681.89,1.4843,111055.54,639.68,20250223,Retail
RISK00042,LOAN00042,CUST0482,AAA,0.0839,0.3647,78079.6,2389.11,1.1315,110407.83,2278.58,20241030,SME
RISK00043,LOAN00043,CUST0445,A,0.2568,0.3641,45292.03,4234.84,0.3564,47151.49,4180.18,20240615,Sovereign
RISK00044,LOAN00044,CUST0491,AAA,0.0882,0.5007,65037.6,2872.17,0.4364,53455.6,3142.13,20250302,Corporate
