deposit_id,customer_id,product_id,open_date_id,balance,interest_rate,tenure_months,maturity_date,is_active,interest_earned_ytd,branch_code
DEP00001,CUST0938,PROD07,20200501,107583.16,3.25,0,,1,2917.42,BR022
DEP00002,CUST0615,PROD09,20230210,164697.3,5.02,24,2025-01-30,1,7120.54,BR038
DEP00003,CUST0721,PROD09,20230720,27380.49,6.31,60,2028-06-23,1,1676.22,BR023
DEP00004,CUST0032,PROD08,20201130,22718.91,3.2,0,,1,591.31,BR001
DEP00005,CUST0532,PROD06,20220409,196612.83,6.38,36,2025-03-24,1,4112.58,BR048
DEP00006,CUST0816,PROD09,20240915,11104.04,5.21,0,,0,530.12,BR017
DEP00007,CUST0040,PROD07,20210713,106500.6,4.13,6,2022-01-09,1,557.96,BR026
DEP00008,CUST0012,PROD08,20240824,227216.08,5.01,12,2025-08-19,1,8231.2,BR030
DEP00009,CUST0269,PROD08,20220326,108333.5,5.29,36,2025-03-10,1,3520.74,BR003
DEP00010,CUST0499,PROD08,20201017,152292.96,3.87,6,2021-04-15,1,4117.6,BR043
DEP00011,CUST0017,PROD08,20230624,90092.13,7.15,36,2026-06-08,0,5906.49,BR012
DEP00012,CUST0324,PROD07,20231013,190393.38,5.17,12,2024-10-07,0,7652.94,BR039
DEP00013,CUST0088,PROD08,20210203,11701.61,4.45,60,2026-01-08,1,284.23,BR034
DEP00014,CUST0646,PROD09,20200909,117618.6,3.97,36,2023-08-25,0,4207.76,BR021
DEP00015,CUST0597,PROD06,20201002,241538.71,7.31,12,2021-09-27,1,11439.2,BR029
DEP00016,CUST0981,PROD09,20200622,30679.44,4.45,3,2020-09-20,0,671.49,BR050
DEP00017,CUST0195,PROD08,20230507,130762.3,3.85,12,2024-05-01,0,2692.4,BR003
DEP00018,CUST0128,PROD09,20220126,94930.49,6.7,36,2025-01-10,0,5338.67,BR019
DEP00019,CUST0046,PROD07,20200508,224263.06,6.61,12,2021-05-03,1,4234.47,BR046
DEP00020,CUST0961,PROD07,20211022,37415.8,3.4,3,2022-01-20,1,300.52,BR048
DEP00021,CUST0400,PROD06,20200102,130489.22,6.23,24,2021-12-22,1,5204.35,BR005
DEP00022,CUST0464,PROD07,20200809,90810.4,6.75,6,2021-02-05,1,658.51,BR024
DEP00023,CUST0930,PROD07,20211107,50204.92,2.94,36,2024-10-22,1,831.79,BR024
DEP00024,CUST0941,PROD09,20200204,82682.09,7.3,24,2022-01-24,1,2168.9,BR010
DEP00025,CUST0249,PROD07,20200916,181537.55,6.06,0,,1,9844.65,BR038
DEP00026,CUST0278,PROD08,20240304,56942.09,3.05,60,2029-02-06,1,1594.14,BR042
DEP00027,CUST0818,PROD06,20210729,215598.84,6.54,24,2023-07-19,0,7907.29,BR017
DEP00028,CUST0712,PROD07,20231026,210786.16,4.83,60,2028-09-29,0,6440.14,BR035
DEP00029,CUST0155,PROD08,20200402,189203.07,2.98,0,,0,5285.88,BR010
