loan_id,customer_id,product_id,disbursal_date_id,disbursal_amount,interest_rate,tenure_months,emi_amount,outstanding_balance,paid_instalments,days_past_due,loan_status,pd,lgd,ead,ecl,collateral_value
LOAN00001,CUST0695,PROD04,20210423,244845.39,13.78,360,2858.52,195752.38,41,120,NPA,0.7608,0.4904,195752.38,73034.49,241786.91
LOAN00002,CUST0717,PROD01,20240212,150462.17,9.16,120,1919.04,125396.22,18,90,NPA,0.5785,0.5867,125396.22,42560.22,7164.8
LOAN00003,CUST0510,PROD01,20210909,493673.71,11.47,240,5254.48,20747.41,229,0,Active,0.0241,0.3847,20747.41,192.35,557791.45
LOAN00004,CUST0676,PROD01,20200804,496713.93,7.75,120,5961.1,8190.36,118,120,NPA,0.7433,0.3882,8190.36,2363.32,191951.53
LOAN00005,CUST0488,PROD01,20230924,461754.41,12.89,36,15533.88,55382.71,31,30,Active,0.2539,0.6727,55382.71,9459.29,530789.5
LOAN00006,CUST0616,PROD01,20230811,191620.11,13.6,84,3548.75,77859.74,48,60,Defaulted,0.43,0.4748,77859.74,15896.16,67076.84
LOAN00007,CUST0266,PROD01,20210818,60134.35,10.39,24,2785.73,14892.0,18,30,Active,0.1783,0.4471,14892.0,1187.16,76971.7
LOAN00008,CUST0977,PROD04,20230327,158845.46,12.52,12,14151.9,116402.09,3,180,NPA,0.95,0.446,116402.09,49319.57,161856.1
LOAN00009,CUST0816,PROD02,20221130,297434.11,8.41,360,2268.07,273759.05,4,0,Active,0.0943,0.6349,273759.05,16390.25,223000.93
LOAN00010,CUST0467,PROD02,20230516,77206.0,13.16,60,1763.0,11281.68,51,0,Active,0.0502,0.5754,11281.68,325.87,31668.27
LOAN00011,CUST0869,PROD05,20220906,250037.63,13.49,48,6768.85,107368.89,24,60,Defaulted,0.3486,0.5867,107368.89,21959.47,318074.1
LOAN00012,CUST0957,PROD02,20231205,461963.14,14.1,12,41500.08,184613.81,7,0,Closed,0.0912,0.3637,184613.81,6123.54,14943.92
LOAN00013,CUST0402,PROD03,20220515,495205.58,13.94,180,6574.91,189448.81,100,30,Active,0.1949,0.6692,189448.81,24709.26,520789.39
LOAN00014,CUST0562,PROD04,20200718,165092.2,14.23,36,5660.92,147925.17,3,30,Active,0.2124,0.3655,147925.17,11483.76,34065.36
LOAN00015,CUST0713,PROD04,20210819,108834.34,14.34,36,3737.7,69675.59,12,0,Closed,0.0576,0.5713,69675.59,2292.81,161371.54
LOAN00016,CUST0152,PROD04,20220524,463362.74,8.32,36,14588.6,67723.93,30,0,Closed,0.065,0.5374,67723.93,2365.66,674003.02
LOAN00017,CUST0643,PROD04,20210516,63807.26,10.87,12,5635.52,40547.29,4,180,NPA,0.95,0.4501,40547.29,17337.82,66212.3
LOAN00018,CUST0815,PROD01,20240511,433123.42,13.03,180,5488.61,250089.08,70,0,Active,0.0117,0.3488,250089.08,1020.6,416714.1
LOAN00019,CUST0931,PROD05,20210405,295490.99,15.89,12,26794.77,109708.26,7,30,Active,0.2461,0.3724,109708.26,10054.5,214611.33
LOAN00020,CUST0661,PROD04,20210903,66992.04,10.26,360,600.81,13883.61,275,60,Defaulted,0.3353,0.5224,13883.61,2431.86,53903.48
LOAN00021,CUST0832,PROD05,20220927,261856.05,12.47,24,12384.03,21228.32,22,30,Active,0.242,0.383,21228.32,1967.57,258680.67
LOAN00022,CUST0121,PROD02,20241031,349131.87,7.55,360,2453.15,124184.42,228,0,Active,0.0206,0.3645,124184.42,932.46,294578.03
LOAN00023,CUST0872,PROD01,20200622,255543.41,10.59,24,11861.74,65272.0,17,180,NPA,0.95,0.3993,65272.0,24759.95,17696.23
LOAN00024,CUST0969,PROD05,20240522,331283.0,11.28,60,7249.24,122384.74,36,0,Closed,0.0997,0.5425,122384.74,6619.45,253724.85
LOAN00025,CUST0705,PROD01,20230919,122364.68,9.1,12,10706.65,79815.44,4,0,Active,0.0552,0.5367,79815.44,2364.6,50915.16
LOAN00026,CUST0747,PROD05,20220514,277175.06,9.72,24,12754.43,45528.27,20,0,Active,0.0254,0.4701,45528.27,543.63,288753.51
LOAN00027,CUST0549,PROD02,20200524,497702.84,13.42,60,11431.56,381107.69,12,0,Active,0.0511,0.3656,381107.69,7119.91,613344.94
LOAN00028,CUST0324,PROD04,20220215,482188.76,9.6,12,42302.4,279249.39,4,0,Active,0.01,0.5561,279249.39,1552.91,262421.22
LOAN00029,CUST0342,PROD03,20201026,140455.16,8.33,48,3450.72,90216.18,14,0,Closed,0.0176,0.5913,90216.18,938.87,64584.7
LOAN00030,CUST0842,PROD04,20200714,177705.6,12.36,240,2001.47,116026.11,72,30,Active,0.2563,0.3683,116026.11,10952.32,252300.27
LOAN00031,CUST0399,PROD02,20211207,278077.49,15.0,240,3661.7,146279.78,103,0,Active,0.0514,0.3622,146279.78,2723.3,52710.29
LOAN00032,CUST0388,PROD05,20240215,31167.99,13.67,60,719.9,18376.98,23,0,Active,0.0707,0.3732,18376.98,484.88,46108.97
LOAN00033,CUST0818,PROD04,20221025,141532.37,11.14,60,3087.15,0.0,60,120,NPA,0.6895,0.5543,0.0,0.0,18457.72
LOAN00034,CUST0313,PROD04,20240427,423396.58,12.89,84,7677.12,362719.67,9,120,NPA,0.6832,0.323,362719.67,80042.66,472135.53
LOAN00035,CUST0568,PROD04,20240713,481272.33,11.1,12,42558.1,158798.41,8,0,Active,0.0685,0.5707,158798.41,6207.9,384350.83
LOAN00036,CUST0128,PROD04,20200129,99141.08,14.57,360,1219.56,94099.56,3,30,Active,0.2416,0.3977,94099.56,9041.49,109895.38
LOAN00037,CUST0974,PROD05,20231101,25966.21,11.31,360,253.38,18798.3,86,90,NPA,0.5524,0.39,18798.3,4049.83,2925.97
LOAN00038,CUST0860,PROD02,20221118,476479.38,11.09,84,8181.05,178796.69,48,180,NPA,0.95,0.5716,178796.69,97090.18,594450.72
LOAN00039,CUST0872,PROD01,20210817,244146.72,9.75,60,5157.41,234552.7,0,0,Active,0.0305,0.6732,234552.7,4815.98,235469.86
LOAN00040,CUST0846,PROD01,20220806,424934.13,7.99,360,3115.05,397091.08,3,0,Active,0.01,0.6561,397091.08,2605.31,118657.14
LOAN00041,CUST0364,PROD01,20200726,248562.83,8.22,120,3044.73,112190.3,65,0,Closed,0.01,0.6078,112190.3,681.89,93261.3
LOAN00042,CUST0482,PROD04,20220205,185425.37,15.08,60,4419.05,78079.6,34,0,Active,0.0839,0.3647,78079.6,2389.11,98387.94
LOAN00043,CUST0445,PROD01,20220105,59779.49,9.92,48,1513.87,45292.03,8,30,Active,0.2568,0.3641,45292.03,4234.84,17843.45
LOAN00044,CUST0491,PROD03,20200831,247088.58,11.71,120,3503.7,65037.6,87,0,Closed,0.0882,0.5007,65037.6,2872.17,342302.16
LOAN00045,CUST0864,PROD04,20200926,479050.9,14.24,24,23054.97,348641.79,4,0,Closed,0.0237,0.5713,348641.79,4720.54,245854.43
LOAN00046,CUST1000,PROD05,20240219,219992.61,9.96,12,19336.75,79049.97,7,0,Active,0.0729,0.3747,79049.97,2159.3,92772.7
LOAN00047,CUST0118,PROD03,20231206,334833.57,11.15,48,8678.36,120033.96,30,60,Defaulted,0.4034,0.5009,120033.96,24254.43,91001.86
LOAN00048,CUST0876,PROD05,20230712,118545.18,8.62,36,3748.77,99764.64,2,0,Active,0.01,0.3799,99764.64,379.01,153696.81
LOAN00049,CUST0390,PROD04,20221211,351578.64,15.83,60,8517.99,242704.27,14,0,Active,0.0644,0.4217,242704.27,6591.24,141991.76
LOAN00050,CUST0288,PROD03,20231228,127249.48,15.11,120,2061.56,88061.88,23,0,Closed,0.0212,0.4888,88061.88,912.55,173405.79
LOAN00051,CUST0104,PROD04,20210113,474422.45,10.59,60,10218.35,280983.82,19,30,Active,0.235,0.6082,280983.82,40160.17,92731.62
LOAN00052,CUST0370,PROD03,20240301,266786.72,10.66,360,2472.37,18496.45,332,0,Active,0.0106,0.5518,18496.45,108.19,240842.43
LOAN00053,CUST0043,PROD05,20230902,100499.12,11.29,48,2611.63,75733.92,6,0,Active,0.0725,0.6959,75733.92,3820.98,30451.1
LOAN00054,CUST0739,PROD02,20200330,99894.83,12.18,36,3326.53,54594.63,16,60,Defaulted,0.4179,0.5241,54594.63,11957.39,52046.14
LOAN00055,CUST0375,PROD04,20230713,455870.34,8.08,24,20634.42,194014.78,13,180,NPA,0.95,0.3668,194014.78,67606.39,187464.35
LOAN00056,CUST0991,PROD02,20210816,478122.45,8.02,12,41595.54,35003.69,11,60,Defaulted,0.3828,0.513,35003.69,6873.9,368264.99
LOAN00057,CUST0077,PROD02,20220615,195154.46,14.12,240,2443.81,105602.49,102,0,Active,0.0572,0.5368,105602.49,3242.52,2593.99
LOAN00058,CUST0951,PROD05,20220721,355338.24,11.96,240,3902.68,235993.47,77,0,Active,0.0119,0.3896,235993.47,1094.12,284394.49
LOAN00059,CUST0299,PROD01,20230802,471312.77,9.86,36,15176.98,326460.37,8,60,Defaulted,0.3976,0.3996,326460.37,51868.34,582125.66
LOAN00060,CUST0548,PROD01,20200103,318178.03,15.76,84,6276.26,140479.15,41,30,Active,0.2216,0.5888,140479.15,18329.45,194888.6
LOAN00061,CUST0627,PROD03,20211026,314847.88,7.59,12,27328.47,162153.05,5,180,NPA,0.95,0.6886,162153.05,106075.66,253793.54
LOAN00062,CUST0889,PROD05,20200805,473099.87,9.69,120,6171.12,149049.46,80,0,Closed,0.0221,0.4075,149049.46,1342.3,412777.6
LOAN00063,CUST0828,PROD04,20201114,119702.96,13.67,180,1567.68,49885.22,94,0,Active,0.0459,0.6262,49885.22,1433.83,31621.43
LOAN00064,CUST0584,PROD04,20240202,325544.31,7.68,36,10153.39,231068.52,10,60,Defaulted,0.4021,0.3751,231068.52,34851.54,70084.33
LOAN00065,CUST0437,PROD02,20220720,54615.73,11.98,120,782.95,11828.54,93,0,Active,0.0384,0.344,11828.54,156.25,1110.23
LOAN00066,CUST0851,PROD01,20200927,386208.22,9.78,48,9754.48,60502.45,40,60,Defaulted,0.3343,0.6167,60502.45,12473.36,314201.73
LOAN00067,CUST0838,PROD03,20241012,105149.21,11.58,24,4929.14,25862.99,18,60,Defaulted,0.3641,0.4916,25862.99,4629.26,38454.46
LOAN00068,CUST0557,PROD03,20230709,65922.38,14.51,240,844.29,54765.84,26,0,Closed,0.0415,0.3005,54765.84,682.97,22180.85
LOAN00069,CUST0233,PROD04,20220228,179888.41,9.94,36,5799.43,57145.45,24,30,Active,0.2568,0.4967,57145.45,7289.05,267341.53
LOAN00070,CUST0230,PROD01,20210731,42763.52,10.34,84,717.46,19122.89,46,120,NPA,0.7562,0.5418,19122.89,7834.82,11422.21
