transaction_id,customer_id,transaction_date_id,transaction_type,channel,amount,balance_after,is_fraud,fraud_score,merchant_category,city
TXN000001,CUST0936,20250502,Online Payment,NEFT,16620.13,4284.24,0,0.1136,Healthcare,Chennai
TXN000002,CUST0621,20230924,Credit,NEFT,7228.75,66031.55,0,0.2379,Travel,Phoenix
TXN000003,CUST0335,20250303,Online Payment,POS,45583.07,79076.76,0,0.0973,Retail,Mumbai
TXN000004,CUST0197,20240504,ATM Withdrawal,Internet,1195.12,5174.28,0,0.2255,Utilities,Ahmedabad
TXN000005,CUST0581,20241019,Online Payment,ATM,34391.99,25200.89,0,0.2076,,Los Angeles
TXN000006,CUST0971,20240718,Debit,POS,3891.32,34907.5,0,0.0067,Food,Chennai
TXN000007,CUST0947,20231008,Credit,Internet,722.74,71041.69,0,0.1661,Utilities,Bangalore
TXN000008,CUST0077,20240521,Credit,IMPS,43933.26,35781.48,0,0.0828,Food,Houston
TXN000009,CUST0742,20250520,EMI Payment,Branch,38550.27,50633.64,0,0.0577,Food,New York
TXN000010,CUST0009,20250614,Transfer,Branch,36259.53,88408.68,0,0.0496,Utilities,Philadelphia
TXN000011,CUST0150,20231127,ATM Withdrawal,Internet,42094.99,66316.26,0,0.0807,,Hyderabad
TXN000012,CUST0063,20230306,Credit,Mobile,45571.68,33332.69,0,0.1984,Education,Ahmedabad
TXN000013,CUST0111,20240523,Credit,Branch,40317.41,51510.66,0,0.2654,Healthcare,Chennai
TXN000014,CUST0162,20230914,Credit,IMPS,37509.24,13552.45,0,0.2248,Utilities,Pune
TXN000015,CUST0833,20230320,ATM Withdrawal,NEFT,6594.42,56357.7,0,0.1239,Food,Pune
TXN000016,CUST0939,20241220,Credit,NEFT,42267.43,20703.16,0,0.0193,Retail,Houston
TXN000017,CUST0126,20240305,Interest Credit,NEFT,22743.28,98694.8,0,0.2945,,Delhi
TXN000018,CUST0928,20230909,Online Payment,Internet,9346.12,38823.06,0,0.2396,Education,Phoenix
TXN000019,CUST0102,20231028,Transfer,IMPS,12049.84,50530.68,0,0.051,,Ahmedabad
TXN000020,CUST0271,20241109,Credit,NEFT,30141.5,99580.07,0,0.0599,Retail,Mumbai
TXN000021,CUST0351,20250117,Credit,NEFT,30690.48,97012.13,0,0.2711,Travel,Delhi
TXN000022,CUST0538,20241018,Online Payment,ATM,3443.69,49183.64,0,0.0457,Food,Hyderabad
TXN000023,CUST0027,20241217,Debit,Mobile,25101.22,95342.51,0,0.286,Entertainment,Hyderabad
TXN000024,CUST0597,20230323,Transfer,POS,45818.76,50893.47,0,0.2716,Food,Los Angeles
TXN000025,CUST0383,20231214,Online Payment,IMPS,16814.22,36805.07,0,0.1072,Utilities,Delhi
TXN000026,CUST0263,20230910,Debit,Internet,31349.69,55169.02,0,0.1452,Travel,New York
TXN000027,CUST0271,20250306,EMI Payment,Mobile,26229.41,66315.46,0,0.17,Retail,Mumbai
TXN000028,CUST0913,20230608,EMI Payment,ATM,30864.74,31435.87,0,0.2967,Food,San Antonio
TXN000029,CUST0670,20241025,Transfer,Branch,12206.11,84100.89,0,0.0937,Food,Philadelphia
TXN000030,CUST0251,20230420,Interest Credit,Branch,14557.58,22713.51,0,0.0412,Healthcare,Philadelphia
TXN000031,CUST0062,20250623,Interest Credit,Mobile,6933.32,11312.13,0,0.0047,Food,Delhi
TXN000032,CUST0289,20240310,Transfer,ATM,15125.35,64219.37,0,0.0846,Retail,Bangalore
